E N U
4638.99299426438 2644.87055271361 -18.2321255209456
-5321.5326858348 3109.18757601338 -22.9734950143941
-5036.9596950899 3108.89037485098 -21.7427507305905
-4752.3858451132 3108.60904252511 -21.5246842575122
-4467.81197000355 3108.34406672228 -21.3192960619144
-4183.23807126577 3108.09544744315 -21.1265861443032
-3898.66415040434 3107.86318468948 -20.9465545060563
-3614.08964347356 3107.64679101927 -21.7792008699298
-3329.51520647512 3107.44675393809 -22.624525563606
-3044.94179372711 3107.26404820991 -21.4825290449812
-2760.36784394701 3107.09721159597 -21.3532105535164
-2475.79349221238 3106.94624417527 -22.236570150447
-2191.2195592653 3106.81212063934 -22.1326082386901
-1906.64501811054 3106.69337904018 -24.0413242807318
-1622.07064496832 3106.59099403319 -25.9627186538337
-1337.49706912839 3106.50642739978 -24.896791767565
-1052.92323242733 3106.43773000804 -24.8435430060481
-768.349269945073 3106.38490189067 -25.8029723946416
-483.775543828532 3106.34940478962 -24.775080312314
-199.201694939424 3106.32977696321 -24.7598663802957
85.3721683603872 3106.3269928966 -23.7573308439011
369.946120256951 3106.34056535587 -22.7674735871881
654.520056839277 3106.37000710514 -22.7902944926921
939.094283819098 3106.41677988428 -20.8257939366022
1223.66791811668 3106.47796018285 -22.873971143933
1508.24207577644 3106.55695878531 -21.9348270366847
1792.81575350726 3106.65133936636 -23.0083609156575
2077.38965773263 3106.76256374695 -23.0945732210526
2361.96355097255 3106.89014465201 -23.1934638050398
2646.53784579184 3107.03456942876 -22.3050328713647
2931.11221566232 3107.1953507805 -21.4292802542636
3215.68615596239 3107.3720013115 -21.5662057147245
3500.2600792551 3107.56500836868 -21.7158094551012
3784.83457620223 3107.77485941563 -20.8780917693522
4069.40914218086 3108.00106705805 -20.0530524172185
4353.98309447212 3108.24314376462 -20.2406910522505
4638.55774947556 3108.50206457648 -19.4410083506943
-5321.0333279257 3572.81897251718 -24.2160441357675
-5036.48704072319 3572.52187201159 -22.9853215426277
-4751.94063784678 3572.24112640211 -21.7672759659006
-4467.39272288517 3571.97561514647 -22.5619066094128
-4182.84618221311 3571.72757943364 -21.3692151464527
-3898.29831054327 3571.49477823867 -22.1892000308656
-3613.75107269614 3571.27889227247 -22.0218623774654
-3329.20381573557 3571.07936129859 -21.8672018150513
-3044.65654117058 3570.8961853189 -21.7252183450758
-2760.10838682292 3570.72824417373 -23.5959114679252
-2475.56117059859 3570.57777823202 -23.4792822212615
-2191.01394128234 3570.4436672825 -23.3753300654951
-1906.46610381546 3570.32479129021 -25.2840545976505
-1621.91894186891 3570.22339035747 -25.205456648762
-1337.37177134483 3570.13834441224 -25.1395357871381
-1052.82459374597 3570.06965345642 -25.0862920142383
-768.277410580562 3570.01731748934 -25.0457253295492
-483.730223352839 3569.98133651243 -25.0178357341751
-199.183033567051 3569.96171052488 -25.0026232275027
85.3641572722507 3569.95843952664 -25.0000878094772
369.911347660753 3569.97152351875 -25.010229480913
654.458638487454 3570.00152246662 -24.0330484029231
939.006161808875 3570.0484363919 -22.068544592284
1223.55366680658 3570.11114536502 -21.1167177277508
1508.10101841939 3570.18964936338 -21.1775677917863
1792.64780110899 3570.28338833939 -23.2510945595862
2077.19537121906 3570.39516232815 -22.3372989979825
2361.74228035841 3570.52217125325 -23.4361801081298
2646.28950200007 3570.66609519813 -23.5477385184677
2930.83670964687 3570.82637413438 -23.671974019057
3215.38490793894 3571.00412830683 -21.8088871755234
3499.93162453023 3571.19655712989 -22.9584765943302
3784.47941779359 3571.40646125291 -22.1207437184287
4069.027280082 3571.63272043621 -21.2956879861938
4353.57384759076 3571.87421416819 -22.4833086252209
4638.1224800454 3572.13374371046 -20.6836075530422
-5320.53394174974 4036.45053384575 -25.4923096400858
-5036.01514752397 4036.15416708148 -23.2616092549443
-4751.4946617895 4035.8728875116 -23.0435836741183
-4466.97415092674 4035.60796139748 -22.8382339932635
-4182.45296206372 4035.35875578229 -23.6455597987176
-3897.9330598345 4035.1271695418 -22.4655623355437
-3613.41248261509 4034.91130380225 -22.2982403602401
-3328.89188628417 4034.71179152381 -22.143594289046
-3044.37127235042 4034.52863270689 -22.0016241222857
-2759.85021051627 4034.3611945507 -22.8723295672541
-2475.32961040223 4034.210742683 -22.7557112296454
-2190.80865442878 4034.07601151981 -23.651768538884
-1906.28837240603 4033.95889933471 -22.5605022697086
-1621.76697632008 4033.85560968491 -25.4819109511633
-1337.24667563994 4033.77120441829 -24.4159964884952
-1052.7261141478 4033.70251988784 -24.3627576960375
-768.205426897977 4033.64955612527 -25.3221945983458
-483.684900293272 4033.61357851918 -25.29430761577
-199.164371130727 4033.59395437061 -25.2790965345272
85.356159085199 4033.59068367913 -25.2765613542807
369.876804590557 4033.60503181241 -23.2867024791369
654.397421429835 4033.63446804492 -23.3095191084924
938.918181711225 4033.68089043572 -22.3450118531773
1223.43883463978 4033.74303360184 -22.3931802995794
1507.9597170304 4033.82216295024 -21.4540248811007
1792.48040002934 4033.91701305959 -21.5275451520229
2077.00107354863 4034.02821663506 -21.6137413309403
2361.52173608451 4034.15577367515 -21.71261341669
2646.04238613078 4034.29968418042 -21.8241614097124
2930.5611881481 4034.45741687931 -25.9483840873298
3215.08213366714 4034.63466704577 -25.0852841333701
3499.602603673 4034.82763784943 -25.2348597728969
3784.1236472256 4035.0375950141 -24.397111686068
4068.64412322623 4035.26327275896 -24.5720391485309
4353.16593988156 4035.50656991997 -22.7596433733193
4637.68646037496 4035.76495465087 -22.9599226934789
-5320.03535966951 4500.08296337574 -25.8022921539223
-5035.54165172629 4499.78535833638 -25.5716123658667
-4751.0479171533 4499.50410521344 -25.3536072846137
-4466.55415745438 4499.23920400802 -25.1482769109998
-4182.06037413406 4498.99065472225 -24.9556212466882
-3897.56656869631 4498.75845735721 -24.7756402925084
-3613.0738732324 4498.54402313437 -22.6083348670584
-3328.57993905081 4498.34452955149 -22.4537032871792
-3044.08598726814 4498.16138789819 -22.3117464242944
-2759.5915876271 4497.99389265111 -23.1824639368316
-2475.09726241507 4497.84274938159 -24.0658562035451
-2190.60404134566 4497.71007452252 -21.9619241428334
-1906.10943774436 4497.59092967273 -23.8706655670185
-1621.61576325054 4497.49025315563 -22.7920826034975
-1337.12178195545 4497.40522310771 -22.726174064204
-1052.62762889528 4497.33583957099 -23.6729399816959
-768.133559292193 4497.28280798182 -24.6323806301088
-483.639574649943 4497.24612833426 -25.6044960048473
-199.145707630507 4497.22650602478 -25.5892863491202
85.3481604423063 4497.22323563945 -25.5867514061731
369.842143793627 4497.23772799108 -23.5968916778529
654.336098481564 4497.26716146557 -23.6197061694056
938.83004971108 4497.3129468689 -23.6551953773792
1223.32437877031 4497.37649505744 -21.7033598373766
1507.81840758633 4497.45498434445 -21.7641984983422
1792.31242842777 4497.54982556547 -21.8377118797377
2076.80643979048 4497.66101871972 -21.9238999809552
2361.30044017067 4497.78856380718 -22.0227628019745
2645.79442806251 4497.93246082658 -22.1343003418226
2930.28794349628 4498.09200423782 -23.2585122459433
3214.78135441279 4498.26789952422 -24.395398824875
3499.27411181591 4498.4594410805 -26.5449596735491
3783.76785666643 4498.66874568916 -26.7071959813327
4068.26158150655 4498.89440221469 -26.8821069962594
4352.7559658535 4499.13711635996 -26.0696931990423
4637.24969067089 4499.39547675724 -26.2699536577096
-5319.53674917118 4963.71569822536 -26.1459912210864
-5035.06970487577 4963.41812107804 -25.9153330527299
-4750.6018906854 4963.13611583197 -26.6973478246409
-4466.13553790696 4962.87201793744 -25.4920372745511
-4181.66841824164 4962.62349194667 -25.2993996666684
-3897.20127646086 4962.39131634356 -25.1194355806094
-3612.73467931004 4962.17626946223 -23.9521454810527
-3328.26797403722 4961.97757290911 -22.797528856061
-3043.80068592521 4961.7944484203 -22.6555852977231
-2759.33294999702 4961.62689608288 -23.526314873546
-2474.86645012496 4961.47802885895 -21.4097191485458
-2190.39873102349 4961.34317734359 -22.3057958030531
-1905.93138754874 4961.22545445007 -22.2145463666102
-1621.4642876854 4961.12486012448 -21.1359707974148
-1336.9966718666 4961.03905986598 -22.0700680901518
-1052.52930266518 4960.97038817618 -22.0168392507449
